Corpus,Taxis,Category,Raw,Percentage within taxis
COREFL,Hypotaxis,Elaboration,13,0.08
COREFL,Hypotaxis,Enhancement,15555,99.01
COREFL,Hypotaxis,Extension,143,0.91
COREFL,Parataxis,Elaboration,514,5.82
COREFL,Parataxis,Enhancement,2582,29.24
COREFL,Parataxis,Extension,5734,64.94
EFCAMDAT,Hypotaxis,Elaboration,168,0.1
EFCAMDAT,Hypotaxis,Enhancement,167687,98.4
EFCAMDAT,Hypotaxis,Extension,2553,1.5
EFCAMDAT,Parataxis,Elaboration,11966,5.64
EFCAMDAT,Parataxis,Enhancement,36631,17.26
EFCAMDAT,Parataxis,Extension,163573,77.1
GiG,Hypotaxis,Elaboration,39,0.35
GiG,Hypotaxis,Enhancement,10833,96.51
GiG,Hypotaxis,Extension,353,3.14
GiG,Parataxis,Elaboration,656,8.56
GiG,Parataxis,Enhancement,3120,40.72
GiG,Parataxis,Extension,3887,50.72
