corpus,model_family,feature_scope,n_texts,n_classes,n_features,class_counts,baseline_macro_f1,baseline_macro_f1_sd,baseline_balanced_accuracy,baseline_balanced_accuracy_sd,baseline_accuracy,baseline_accuracy_sd,rf_macro_f1,rf_macro_f1_sd,rf_balanced_accuracy,rf_balanced_accuracy_sd,rf_accuracy,rf_accuracy_sd
COREFL,Table 16,Totals,982,6,3,A1:45; A2:135; B1:213; B2:266; C1:231; C2:92,0.071,0.001,0.167,0.0,0.271,0.003,0.208,0.021,0.211,0.018,0.26,0.015
COREFL,Table 16,Macro,982,6,9,A1:45; A2:135; B1:213; B2:266; C1:231; C2:92,0.071,0.001,0.167,0.0,0.271,0.003,0.209,0.009,0.208,0.008,0.251,0.011
COREFL,Table 16,All normalized,982,6,62,A1:45; A2:135; B1:213; B2:266; C1:231; C2:92,0.071,0.001,0.167,0.0,0.271,0.003,0.247,0.031,0.247,0.027,0.307,0.023
EFCAMDAT,Table 16,Totals,232565,5,2,A1:32831; A2:117986; B1:60390; B2:18162; C1:3196,0.135,0.0,0.2,0.0,0.507,0.0,0.411,0.003,0.404,0.002,0.611,0.001
EFCAMDAT,Table 16,Macro,232565,5,6,A1:32831; A2:117986; B1:60390; B2:18162; C1:3196,0.135,0.0,0.2,0.0,0.507,0.0,0.459,0.002,0.444,0.002,0.621,0.001
EFCAMDAT,Table 16,All normalized,232565,5,64,A1:32831; A2:117986; B1:60390; B2:18162; C1:3196,0.135,0.0,0.2,0.0,0.507,0.0,0.484,0.003,0.459,0.002,0.634,0.002
GiG,Table 16,Totals,2371,5,3,2:295; 4:33; 6:811; 9:722; 11:510,0.102,0.0,0.2,0.0,0.342,0.001,0.268,0.02,0.273,0.021,0.333,0.021
GiG,Table 16,Macro,2371,5,9,2:295; 4:33; 6:811; 9:722; 11:510,0.102,0.0,0.2,0.0,0.342,0.001,0.347,0.014,0.351,0.016,0.422,0.015
GiG,Table 16,All normalized,2371,5,64,2:295; 4:33; 6:811; 9:722; 11:510,0.102,0.0,0.2,0.0,0.342,0.001,0.414,0.026,0.42,0.027,0.506,0.033
COREFL,Table 17,Intra-sentential only,3416,6,56,A1:234; A2:556; B1:713; B2:923; C1:712; C2:278,0.071,0.0,0.167,0.0,0.27,0.001,0.257,0.017,0.258,0.015,0.293,0.014
COREFL,Table 17,Inter-sentential only,3416,6,4,A1:234; A2:556; B1:713; B2:923; C1:712; C2:278,0.071,0.0,0.167,0.0,0.27,0.001,0.189,0.013,0.192,0.011,0.244,0.009
COREFL,Table 17,Inter-paragraph only,982,6,4,A1:45; A2:135; B1:213; B2:266; C1:231; C2:92,0.071,0.001,0.167,0.0,0.271,0.003,0.164,0.021,0.191,0.018,0.27,0.027
COREFL,Table 17,All available,982,6,62,A1:45; A2:135; B1:213; B2:266; C1:231; C2:92,0.071,0.001,0.167,0.0,0.271,0.003,0.247,0.031,0.247,0.027,0.307,0.023
EFCAMDAT,Table 17,Intra-sentential only,232565,5,60,A1:32831; A2:117986; B1:60390; B2:18162; C1:3196,0.135,0.0,0.2,0.0,0.507,0.0,0.459,0.006,0.438,0.006,0.62,0.002
EFCAMDAT,Table 17,Inter-sentential only,232565,5,4,A1:32831; A2:117986; B1:60390; B2:18162; C1:3196,0.135,0.0,0.2,0.0,0.507,0.0,0.382,0.003,0.371,0.003,0.596,0.001
EFCAMDAT,Table 17,All available,232565,5,64,A1:32831; A2:117986; B1:60390; B2:18162; C1:3196,0.135,0.0,0.2,0.0,0.507,0.0,0.484,0.003,0.459,0.002,0.634,0.002
GiG,Table 17,Intra-sentential only,2684,5,56,2:448; 4:44; 6:863; 9:799; 11:530,0.097,0.0,0.2,0.0,0.322,0.001,0.4,0.024,0.407,0.023,0.484,0.028
GiG,Table 17,Inter-sentential only,2684,5,4,2:448; 4:44; 6:863; 9:799; 11:530,0.097,0.0,0.2,0.0,0.322,0.001,0.288,0.007,0.323,0.007,0.358,0.009
GiG,Table 17,Inter-paragraph only,2371,5,4,2:295; 4:33; 6:811; 9:722; 11:510,0.102,0.0,0.2,0.0,0.342,0.001,0.211,0.016,0.238,0.012,0.363,0.015
GiG,Table 17,All available,2371,5,64,2:295; 4:33; 6:811; 9:722; 11:510,0.102,0.0,0.2,0.0,0.342,0.001,0.414,0.026,0.42,0.027,0.506,0.033
