rank_overall,corpus,feature,importance_mean,importance_sd,discourse_level,feature_simplified
1,COREFL,intra_intra_enh_spat_same_place_hypo_per_1000,0.049868970416045835,0.007328516292759731,intra-sentential,enh_spat_same_place_hypo
2,COREFL,intra_intra_enh_temp_later_hypo_per_1000,0.03904839466138278,0.008504112354593018,intra-sentential,enh_temp_later_hypo
3,COREFL,intersent_intersent_ext_adv_per_1000,0.03260062898568235,0.011991111307343963,inter-sentential,ext_adv
4,GiG,interpara_detected_cases_per_1000,0.029814420167167642,0.0120368823407961,inter-paragraph,detected_cases
5,COREFL,intersent_macro_extension_per_1000,0.025335207734446558,0.012475000950170132,inter-sentential,macro_extension
6,COREFL,interpara_macro_enhancement_per_1000,0.022170183625631334,0.005957251567988726,inter-paragraph,macro_enhancement
7,EFCAMDAT,intra_taxis_hypotactic_per_1000,0.019048083975378848,0.0014306797766286444,intra-sentential,taxis_hypotactic
8,COREFL,intra_macro_extension_per_1000,0.018549541200297635,0.007161963661311748,intra-sentential,macro_extension
9,EFCAMDAT,intersent_macro_enhancement_per_1000,0.016934779173829805,0.002973704544989265,inter-sentential,macro_enhancement
10,GiG,interpara_interpara_elab_clar_sum_per_1000,0.01600312925844243,0.003942790776052113,inter-paragraph,elab_clar_sum
11,GiG,intersent_intersent_ext_add_positive_per_1000,0.01583364306068389,0.0016902345390979946,inter-sentential,ext_add_positive
12,COREFL,interpara_interpara_enh_spatio_temporal_simple_following_per_1000,0.0154192548884517,0.005501397953744939,inter-paragraph,enh_spatio_temporal_simple_following
13,GiG,intra_taxis_paratactic_per_1000,0.015297782838529617,0.005750094148507086,intra-sentential,taxis_paratactic
14,GiG,intra_macro_elaboration_per_1000,0.014974256505065276,0.008312983755065742,intra-sentential,macro_elaboration
15,EFCAMDAT,intra_intra_ext_add_para_per_1000,0.014713533415207425,0.0025687249129760113,intra-sentential,ext_add_para
16,EFCAMDAT,intersent_intersent_enh_spatio_temporal_simple_following_per_1000,0.014062225529328853,0.0023025267863901683,inter-sentential,enh_spatio_temporal_simple_following
17,COREFL,intra_intra_ext_var_subtr_para_per_1000,0.013891252615013321,0.010094569377595338,intra-sentential,ext_var_subtr_para
18,COREFL,intra_intra_enh_temp_sim_hypo_per_1000,0.013413191214112575,0.004735535448563332,intra-sentential,enh_temp_sim_hypo
19,COREFL,interpara_interpara_ext_adv_per_1000,0.013375393807526748,0.0037049206046851652,inter-paragraph,ext_adv
20,COREFL,intra_intra_enh_caus_reason_hypo_per_1000,0.012762117135019268,0.015275508171746555,intra-sentential,enh_caus_reason_hypo
21,EFCAMDAT,intersent_intersent_ext_adv_per_1000,0.012064367963618493,0.0013599838198230171,inter-sentential,ext_adv
22,EFCAMDAT,intra_intra_enh_caus_reason_hypo_per_1000,0.011650767735443202,0.0023640289444799823,intra-sentential,enh_caus_reason_hypo
23,GiG,interpara_macro_elaboration_per_1000,0.01142803687481464,0.003827064498289198,inter-paragraph,macro_elaboration
24,EFCAMDAT,intersent_intersent_enh_spatio_temporal_simple_concl_per_1000,0.011264887832898718,0.0023556357702340237,inter-sentential,enh_spatio_temporal_simple_concl
25,COREFL,intra_detected_cases_per_1000,0.01072079900823351,0.017502108905511748,intra-sentential,detected_cases
26,COREFL,intersent_intersent_enh_spatio_temporal_simple_concl_per_1000,0.009821368800671942,0.012698310944608243,inter-sentential,enh_spatio_temporal_simple_concl
27,COREFL,intersent_macro_elaboration_per_1000,0.009779203147006987,0.002546018880352903,inter-sentential,macro_elaboration
28,EFCAMDAT,intersent_macro_extension_per_1000,0.009690461673787709,0.000546528081171782,inter-sentential,macro_extension
29,EFCAMDAT,intersent_intersent_enh_caus_cond_positive_per_1000,0.009669042367851821,0.001968911247219191,inter-sentential,enh_caus_cond_positive
30,GiG,interpara_macro_enhancement_per_1000,0.009535287523487567,0.009023171766878394,inter-paragraph,macro_enhancement
